                                                                                                                                                                                                                                         
{'loss': '2.623', 'grad_norm': '13.01', 'learning_rate': '0.0001823', 'epoch': '0.5399'}
{'loss': '2.541', 'grad_norm': '28.44', 'learning_rate': '0.0001821', 'epoch': '0.5426'}
{'loss': '5.224', 'grad_norm': '64.9', 'learning_rate': '0.0001819', 'epoch': '0.5454'}
{'loss': '4.362', 'grad_norm': '7.53', 'learning_rate': '0.0001817', 'epoch': '0.5481'}
{'loss': '3.64', 'grad_norm': '15.3', 'learning_rate': '0.0001815', 'epoch': '0.5508'}
{'loss': '3.744', 'grad_norm': '33.55', 'learning_rate': '0.0001813', 'epoch': '0.5535'}
{'loss': '2.409', 'grad_norm': '64.26', 'learning_rate': '0.000181', 'epoch': '0.5562'}
{'loss': '1.365', 'grad_norm': '62.37', 'learning_rate': '0.0001808', 'epoch': '0.5589'}
{'loss': '1.632', 'grad_norm': '662.5', 'learning_rate': '0.0001806', 'epoch': '0.5616'}
{'loss': '4.681', 'grad_norm': '159.2', 'learning_rate': '0.0001804', 'epoch': '0.5644'}
{'loss': '4.986', 'grad_norm': '52.56', 'learning_rate': '0.0001802', 'epoch': '0.5671'}
{'loss': '4.27', 'grad_norm': '44.07', 'learning_rate': '0.00018', 'epoch': '0.5698'}
{'loss': '8.125', 'grad_norm': '139.4', 'learning_rate': '0.0001798', 'epoch': '0.5725'}
{'loss': '5.089', 'grad_norm': '59.44', 'learning_rate': '0.0001796', 'epoch': '0.5752'}
{'loss': '4.126', 'grad_norm': '35', 'learning_rate': '0.0001794', 'epoch': '0.5779'}
{'loss': '3.99', 'grad_norm': '17.83', 'learning_rate': '0.0001792', 'epoch': '0.5806'}
{'loss': '4.04', 'grad_norm': '29.74', 'learning_rate': '0.000179', 'epoch': '0.5833'}
{'loss': '4.968', 'grad_norm': '42.6', 'learning_rate': '0.0001788', 'epoch': '0.5861'}
{'loss': '4.089', 'grad_norm': '25.37', 'learning_rate': '0.0001786', 'epoch': '0.5888'}
{'loss': '4.368', 'grad_norm': '67.74', 'learning_rate': '0.0001784', 'epoch': '0.5915'}
{'loss': '3.54', 'grad_norm': '22.37', 'learning_rate': '0.0001782', 'epoch': '0.5942'}
{'loss': '4.022', 'grad_norm': '54.18', 'learning_rate': '0.000178', 'epoch': '0.5969'}
{'loss': '5.892', 'grad_norm': '88.13', 'learning_rate': '0.0001778', 'epoch': '0.5996'}
{'loss': '6.026', 'grad_norm': '24.96', 'learning_rate': '0.0001776', 'epoch': '0.6023'}
{'loss': '3.674', 'grad_norm': '20.9', 'learning_rate': '0.0001774', 'epoch': '0.6051'}
{'loss': '3.111', 'grad_norm': '51.91', 'learning_rate': '0.0001772', 'epoch': '0.6078'}
{'loss': '0.8861', 'grad_norm': '4.654', 'learning_rate': '0.000177', 'epoch': '0.6105'}
{'loss': '0.02448', 'grad_norm': '0.0368', 'learning_rate': '0.0001768', 'epoch': '0.6132'}
{'loss': '5.48', 'grad_norm': '0.01226', 'learning_rate': '0.0001766', 'epoch': '0.6159'}
{'loss': '3.591', 'grad_norm': '67.96', 'learning_rate': '0.0001764', 'epoch': '0.6186'}
{'loss': '10.48', 'grad_norm': '64.77', 'learning_rate': '0.0001762', 'epoch': '0.6213'}
{'loss': '4.253', 'grad_norm': '22.6', 'learning_rate': '0.000176', 'epoch': '0.624'}
{'loss': '3.604', 'grad_norm': '8.716', 'learning_rate': '0.0001758', 'epoch': '0.6268'}
{'loss': '3.162', 'grad_norm': '66.67', 'learning_rate': '0.0001756', 'epoch': '0.6295'}
{'loss': '2.707', 'grad_norm': '34.84', 'learning_rate': '0.0001754', 'epoch': '0.6322'}
{'loss': '5.007', 'grad_norm': '69.42', 'learning_rate': '0.0001752', 'epoch': '0.6349'}
{'loss': '7.481', 'grad_norm': '57.05', 'learning_rate': '0.000175', 'epoch': '0.6376'}
{'loss': '4.454', 'grad_norm': '38.87', 'learning_rate': '0.0001748', 'epoch': '0.6403'}
{'loss': '1.951', 'grad_norm': '27.88', 'learning_rate': '0.0001746', 'epoch': '0.643'}
{'loss': '3.017', 'grad_norm': '27.86', 'learning_rate': '0.0001744', 'epoch': '0.6458'}
{'loss': '5.012', 'grad_norm': '34.75', 'learning_rate': '0.0001742', 'epoch': '0.6485'}
{'loss': '3.579', 'grad_norm': '11.72', 'learning_rate': '0.000174', 'epoch': '0.6512'}
{'loss': '4.219', 'grad_norm': '60.83', 'learning_rate': '0.0001738', 'epoch': '0.6539'}
{'loss': '4.813', 'grad_norm': '28.78', 'learning_rate': '0.0001736', 'epoch': '0.6566'}
{'loss': '5.286', 'grad_norm': '26.3', 'learning_rate': '0.0001734', 'epoch': '0.6593'}
{'loss': '4.655', 'grad_norm': '32.61', 'learning_rate': '0.0001732', 'epoch': '0.662'}
{'loss': '5.488', 'grad_norm': '47.96', 'learning_rate': '0.000173', 'epoch': '0.6647'}
{'loss': '5.766', 'grad_norm': '68.58', 'learning_rate': '0.0001728', 'epoch': '0.6675'}
{'loss': '4.256', 'grad_norm': '42.54', 'learning_rate': '0.0001726', 'epoch': '0.6702'}
{'loss': '3.126', 'grad_norm': '16.74', 'learning_rate': '0.0001724', 'epoch': '0.6729'}
{'loss': '2.828', 'grad_norm': '76.17', 'learning_rate': '0.0001722', 'epoch': '0.6756'}
{'loss': '1.668', 'grad_norm': '30.39', 'learning_rate': '0.000172', 'epoch': '0.6783'}
{'loss': '7.887', 'grad_norm': '49.37', 'learning_rate': '0.0001718', 'epoch': '0.681'}
{'loss': '7.213', 'grad_norm': '70.56', 'learning_rate': '0.0001716', 'epoch': '0.6837'}
{'loss': '4.843', 'grad_norm': '36.85', 'learning_rate': '0.0001714', 'epoch': '0.6865'}
{'loss': '5.399', 'grad_norm': '56.75', 'learning_rate': '0.0001712', 'epoch': '0.6892'}
{'loss': '5.352', 'grad_norm': '11.39', 'learning_rate': '0.000171', 'epoch': '0.6919'}
{'loss': '4.873', 'grad_norm': '11.08', 'learning_rate': '0.0001708', 'epoch': '0.6946'}
{'loss': '4.639', 'grad_norm': '59.58', 'learning_rate': '0.0001706', 'epoch': '0.6973'}
{'loss': '4.612', 'grad_norm': '19.62', 'learning_rate': '0.0001704', 'epoch': '0.7'}
{'loss': '6.099', 'grad_norm': '20.17', 'learning_rate': '0.0001702', 'epoch': '0.7027'}
{'loss': '1.578', 'grad_norm': '26.54', 'learning_rate': '0.00017', 'epoch': '0.7054'}
{'loss': '0.3869', 'grad_norm': '5.999', 'learning_rate': '0.0001698', 'epoch': '0.7082'}
{'loss': '0.05846', 'grad_norm': '0.7005', 'learning_rate': '0.0001696', 'epoch': '0.7109'}
{'loss': '0.008', 'grad_norm': '0.1197', 'learning_rate': '0.0001694', 'epoch': '0.7136'}
{'loss': '9.865', 'grad_norm': '130.2', 'learning_rate': '0.0001692', 'epoch': '0.7163'}
