                                                                                                                                                                                                                                         
{'loss': '2.8', 'grad_norm': '13.58', 'learning_rate': '4.37e-05', 'epoch': '2.411'}
{'loss': '2.78', 'grad_norm': '17.97', 'learning_rate': '4.292e-05', 'epoch': '2.422'}
{'loss': '4.407', 'grad_norm': '113', 'learning_rate': '4.215e-05', 'epoch': '2.432'}
{'loss': '3.64', 'grad_norm': '39.4', 'learning_rate': '4.138e-05', 'epoch': '2.443'}
{'loss': '4.941', 'grad_norm': '55.01', 'learning_rate': '4.06e-05', 'epoch': '2.453'}
{'loss': '5.373', 'grad_norm': '46.04', 'learning_rate': '3.983e-05', 'epoch': '2.464'}
{'loss': '4.164', 'grad_norm': '8.444', 'learning_rate': '3.906e-05', 'epoch': '2.474'}
{'loss': '4.404', 'grad_norm': '32.87', 'learning_rate': '3.828e-05', 'epoch': '2.485'}
{'loss': '3.572', 'grad_norm': '31.52', 'learning_rate': '3.751e-05', 'epoch': '2.495'}
{'loss': '2.457', 'grad_norm': '18.95', 'learning_rate': '3.674e-05', 'epoch': '2.505'}
{'loss': '2.324', 'grad_norm': '19.94', 'learning_rate': '3.596e-05', 'epoch': '2.516'}
{'loss': '3.934', 'grad_norm': '21.4', 'learning_rate': '3.519e-05', 'epoch': '2.526'}
{'loss': '3.942', 'grad_norm': '30.61', 'learning_rate': '3.442e-05', 'epoch': '2.537'}
{'loss': '3.065', 'grad_norm': '34.74', 'learning_rate': '3.364e-05', 'epoch': '2.547'}
{'loss': '2.204', 'grad_norm': '32.16', 'learning_rate': '3.287e-05', 'epoch': '2.558'}
{'loss': '2.71', 'grad_norm': '36.62', 'learning_rate': '3.21e-05', 'epoch': '2.568'}
{'loss': '2.287', 'grad_norm': '8.735', 'learning_rate': '3.132e-05', 'epoch': '2.579'}
{'loss': '3.303', 'grad_norm': '7.199', 'learning_rate': '3.055e-05', 'epoch': '2.589'}
{'loss': '3.404', 'grad_norm': '37.56', 'learning_rate': '2.978e-05', 'epoch': '2.599'}
{'loss': '2.299', 'grad_norm': '19.46', 'learning_rate': '2.9e-05', 'epoch': '2.61'}
{'loss': '3.317', 'grad_norm': '40.97', 'learning_rate': '2.823e-05', 'epoch': '2.62'}
{'loss': '2.897', 'grad_norm': '63.27', 'learning_rate': '2.746e-05', 'epoch': '2.631'}
{'loss': '2.441', 'grad_norm': '45.19', 'learning_rate': '2.668e-05', 'epoch': '2.641'}
{'loss': '3.722', 'grad_norm': '35.75', 'learning_rate': '2.591e-05', 'epoch': '2.652'}
{'loss': '2.962', 'grad_norm': '55.51', 'learning_rate': '2.514e-05', 'epoch': '2.662'}
{'loss': '3.575', 'grad_norm': '26.33', 'learning_rate': '2.436e-05', 'epoch': '2.672'}
{'loss': '4.535', 'grad_norm': '86.75', 'learning_rate': '2.359e-05', 'epoch': '2.683'}
{'loss': '3.669', 'grad_norm': '24.5', 'learning_rate': '2.282e-05', 'epoch': '2.693'}
{'loss': '4.479', 'grad_norm': '35.6', 'learning_rate': '2.204e-05', 'epoch': '2.704'}
{'loss': '3.894', 'grad_norm': '35.05', 'learning_rate': '2.127e-05', 'epoch': '2.714'}
{'loss': '3.569', 'grad_norm': '22.53', 'learning_rate': '2.049e-05', 'epoch': '2.725'}
{'loss': '2.902', 'grad_norm': '14.49', 'learning_rate': '1.972e-05', 'epoch': '2.735'}
